"full_name","neo","pha","a","e","i","om","w","ma","diameter","extent","rot_per","GM","n","epoch","moid","per_y","producer"
"   73P/Schwassmann-Wachmann 3-AP",Y,,3.144,0.7014,11.47,69.97,198.74,353.53,,,,,0.1768,2453856.5,0.041,5.58,"Nick Mastrodemos"
"   73P/Schwassmann-Wachmann 3-AQ",Y,,3.088,0.6959,11.41,69.92,198.77,353.12,,,,,0.1816,2453856.5,0.0408,5.43,"Nick Mastrodemos"
"   73P/Schwassmann-Wachmann 3-AR",Y,,3.087,0.6958,11.41,69.97,198.71,350.22,,,,,0.1817,2453839.5,0.0406,5.43,"Nick Mastrodemos"
"   73P/Schwassmann-Wachmann 3-AS",Y,,3.141,0.7011,11.46,69.98,198.72,352.87,,,,,0.1771,2453852.5,0.0411,5.57,"Otto Matic"
"   73P/Schwassmann-Wachmann 3-AT",Y,,3.001,0.6869,11.33,69.85,198.81,349.90,,,,,0.1896,2453839.5,0.0402,5.2,"Nick Mastrodemos"
"   73P/Schwassmann-Wachmann 3-AU",Y,,3.058,0.6928,11.38,69.91,198.76,349.84,,,,,0.1843,2453839.5,0.0405,5.35,"Nick Mastrodemos"
"   73P/Schwassmann-Wachmann 3-AV",Y,,3.062,0.6934,11.40,69.87,198.86,350.16,,,,,0.1839,2453839.5,0.0405,5.36,"Davide Farnocchia"
"   73P/Schwassmann-Wachmann 3-AW",Y,,2.678,0.6482,10.98,69.48,199.09,349.16,,,,,0.225,2453846.5,0.0387,4.38,"Davide Farnocchia"
"   73P/Schwassmann-Wachmann 3-AX",Y,,3.05,0.6925,11.43,69.47,199.25,349.55,,,,,0.185,2453839.5,0.0403,5.33,"Nick Mastrodemos"
"   73P/Schwassmann-Wachmann 3-AY",Y,,2.8,0.6640,11.13,69.59,199.02,349.69,,,,,0.2104,2453846.5,0.0394,4.69,"Davide Farnocchia"
"   73P/Schwassmann-Wachmann 3-AZ",Y,,2.647,0.6441,10.93,69.50,199.04,349.47,,,,,0.2288,2453847.5,0.0386,4.31,"Davide Farnocchia"
"   73P/Schwassmann-Wachmann 3-BA",Y,,2.961,0.6824,11.27,69.92,198.69,349.64,,,,,0.1935,2453839.5,0.0401,5.09,"Nick Mastrodemos"
"   73P/Schwassmann-Wachmann 3-BB",Y,,2.968,0.6824,11.19,70.47,197.93,349.57,,,,,0.1928,2453839.5,0.0401,5.11,"Nick Mastrodemos"
"   73P/Schwassmann-Wachmann 3-BC",Y,,3.134,0.7005,11.46,69.96,198.75,353.50,,,,,0.1776,2453856.5,0.041,5.55,"Nick Mastrodemos"
"   73P/Schwassmann-Wachmann 3-BD",Y,,2.979,0.6824,10.97,71.42,196.46,349.81,,,,,0.1916,2453839.5,0.0404,5.14,"Nick Mastrodemos"
"   73P/Schwassmann-Wachmann 3-BE",Y,,2.958,0.6824,11.32,69.69,199.00,349.54,,,,,0.1937,2453839.5,0.04,5.09,"Nick Mastrodemos"
