"full_name","neo","pha","a","e","i","om","w","ma","diameter","extent","rot_per","GM","n","epoch","moid","per_y","producer"
"457768 (2009 KN4)",Y,Y,1.941,0.5247,9.14,308.21,38.35,219.58,,,,,0.3645,2460600.5,0.0102,2.7,"Otto Matic"
"458116 (2010 DA)",Y,Y,1.03,0.5657,20.54,162.31,122.24,285.48,,,,,0.9424,2460600.5,0.00623,1.05,"Otto Matic"
"458122 (2010 EW45)",Y,Y,2.067,0.6690,2.12,232.92,135.58,353.60,,,,,0.3317,2460600.5,0.019,2.97,"Otto Matic"
"458418 (2011 AM12)",Y,Y,1.854,0.5377,38.50,124.76,237.74,199.81,,,,,0.3903,2460600.5,0.00832,2.53,"Otto Matic"
"458436 (2011 AL52)",Y,Y,2.802,0.6363,13.44,272.70,171.76,325.38,1.102,,,,0.2101,2460600.5,0.0395,4.69,"Otto Matic"
"458723 (2011 KQ12)",Y,Y,1.811,0.5030,19.29,83.61,142.91,174.35,,,,,0.4046,2460600.5,0.0411,2.44,"Otto Matic"
"459683 (2013 MY5)",Y,Y,1.662,0.4532,3.00,102.88,279.04,61.87,0.269,,,,0.4601,2460600.5,0.0322,2.14,"Otto Matic"
"461852 (2006 GY2)",Y,Y,1.858,0.4959,30.56,54.29,216.73,87.41,,,2.25,,0.3891,2460600.5,0.00575,2.53,"Otto Matic"
"462238 (2008 CN1)",Y,Y,0.7707,0.3477,7.22,331.46,7.26,26.27,0.227,,6.0555,,1.457,2460600.5,0.0349,0.677,"Otto Matic"
"462550 (2009 CB3)",Y,Y,1.065,0.7237,21.50,158.73,229.52,148.11,,,,,0.8969,2460600.5,0.011,1.1,"Otto Matic"
"462959 (2011 DU)",Y,Y,1.172,0.3178,2.95,176.87,120.20,164.01,,,10.29,,0.7773,2460600.5,0.0175,1.27,"Otto Matic"
"463387 (2013 CT82)",Y,Y,2.085,0.6248,1.80,271.38,90.54,30.03,,,,,0.3275,2460600.5,0.013,3.01,"Otto Matic"
"465617 (2009 EK1)",Y,Y,1.241,0.2290,9.12,358.38,21.87,230.00,,,,,0.713,2460600.5,0.032,1.38,"Otto Matic"
"465633 (2009 JR5)",Y,Y,1.252,0.3514,3.95,128.18,309.95,139.11,,,,,0.7032,2460600.5,0.0241,1.4,"Otto Matic"
"465824 (2010 FR)",Y,Y,1.131,0.3654,14.24,167.27,272.73,98.40,,,,,0.819,2460600.5,0.00518,1.2,"Otto Matic"
"465826 (2010 GA24)",Y,Y,2.097,0.5468,7.68,30.66,237.57,261.43,0.150,,,,0.3247,2460600.5,0.0494,3.04,"Otto Matic"
"465892 (2010 UT7)",Y,Y,1.584,0.6605,25.43,65.75,277.34,28.06,,,,,0.4945,2460600.5,0.0186,1.99,"Otto Matic"
"466130 (2012 FZ23)",Y,Y,2.483,0.6104,75.62,179.33,358.13,71.08,,,,,0.252,2460600.5,0.0266,3.91,"Otto Matic"
"466508 (2014 GY48)",Y,Y,1.61,0.4187,39.63,37.62,212.80,29.81,,,6.82,,0.4826,2460600.5,0.022,2.04,"Otto Matic"
"467309 (1996 AW1)",Y,Y,1.534,0.5181,4.77,117.51,229.45,90.28,,,10.773,,0.5187,2460600.5,0.0399,1.9,"Otto Matic"
"467317 (2000 QW7)",Y,Y,1.949,0.4687,4.15,158.55,190.99,314.00,,,71.57,,0.3623,2460600.5,0.03,2.72,"Otto Matic"
"467336 (2002 LT38)",Y,Y,0.8452,0.3137,6.18,259.27,162.78,120.77,,,21.8,,1.268,2460600.5,0.0348,0.777,"Otto Matic"
"467351 (2003 KO2)",Y,Y,0.7277,0.5108,23.49,215.47,204.04,351.18,,,6.48,,1.588,2460600.5,0.0028,0.621,"Otto Matic"
"467460 (2006 JF42)",Y,Y,0.6715,0.5819,5.94,40.83,17.80,307.85,,,13.98,,1.791,2460600.5,0.0027,0.55,Giorgini
"468005 (2012 XD112)",Y,Y,1.323,0.3658,3.72,97.77,76.79,234.88,,,,,0.6476,2460600.5,0.015,1.52,"Otto Matic"
"468468 (2004 KH17)",Y,Y,0.7121,0.4982,22.13,79.12,340.72,176.08,0.197,,,,1.64,2460600.5,0.00231,0.601,"Otto Matic"
"468727 (2010 JE87)",Y,Y,0.9042,0.4370,16.91,120.47,242.31,194.33,0.308,,,,1.146,2460600.5,0.0347,0.86,"Otto Matic"
"468910 (2014 KQ76)",Y,Y,1.007,0.4233,4.77,127.63,325.15,232.41,,,2.953,,0.9747,2460600.5,0.0415,1.01,"Otto Matic"
"469896 (2005 WC1)",Y,Y,1.401,0.4865,19.98,264.94,256.82,102.44,,,2.582,,0.5947,2460600.5,0.0134,1.66,"Otto Matic"
"470310 (2007 LB15)",Y,Y,0.9383,0.3952,25.19,262.77,237.36,128.01,,,,,1.084,2460600.5,0.00564,0.909,"Otto Matic"
"471240 (2011 BT15)",Y,Y,1.293,0.3024,1.66,105.35,308.81,147.30,,,0.109138,,0.6705,2460600.5,0.000634,1.47,"Otto Matic"
"471241 (2011 BX18)",Y,Y,2.872,0.7312,14.62,310.56,304.22,253.95,1.451,,4.828,,0.2026,2460600.5,0.0329,4.87,"Otto Matic"
"471323 (2011 KW15)",Y,Y,1.17,0.4938,23.66,283.35,97.52,143.20,,,,,0.7791,2460600.5,0.0431,1.27,"Otto Matic"
"471926 Jormungandr (2013 KN6)",Y,Y,1.466,0.8508,23.54,229.42,232.53,183.06,,,,,0.5554,2460600.5,0.049,1.77,"Otto Matic"
"474158 (1999 FA)",Y,Y,1.078,0.1327,12.03,166.08,296.99,5.21,,,10.092,,0.8803,2460600.5,0.00772,1.12,"Otto Matic"
"474163 (1999 SO5)",Y,Y,1.086,0.0653,13.37,196.06,359.70,214.77,,,1.38,,0.871,2460600.5,0.0163,1.13,"Otto Matic"
"474231 (2001 HZ7)",Y,Y,1.47,0.4983,5.43,156.28,312.87,112.39,,,65,,0.5532,2460600.5,0.0463,1.78,"Otto Matic"
"475534 (2006 TS7)",Y,Y,0.9467,0.5803,5.50,225.14,300.05,111.86,,,,,1.07,2460600.5,0.0153,0.921,"Otto Matic"
"476601 (2008 SE85)",Y,Y,1.626,0.5251,29.61,177.42,294.90,228.98,,,,,0.4755,2460600.5,0.0233,2.07,"Otto Matic"
"477162 (2009 ES)",Y,Y,1.436,0.3293,30.33,343.71,311.18,280.63,,,28,,0.5727,2460600.5,0.0409,1.72,"Otto Matic"
"477465 (2009 XZ1)",Y,Y,0.8557,0.5339,8.16,81.97,153.01,149.53,,,,,1.245,2460600.5,0.0424,0.792,"Otto Matic"
"477519 (2010 DJ56)",Y,Y,1.25,0.2453,34.84,149.91,309.28,231.65,0.321,,,,0.7053,2460600.5,0.0288,1.4,"Otto Matic"
"478574 (2012 TS78)",Y,Y,1.608,0.3818,32.67,8.27,196.78,123.69,,,,,0.4833,2460600.5,0.00937,2.04,"Otto Matic"
"480808 (1994 XL1)",Y,Y,0.6709,0.5262,28.17,252.65,356.58,319.43,,,,,1.794,2460600.5,0.0364,0.55,"Otto Matic"
"480820 (1998 VF32)",Y,Y,0.8508,0.4438,23.75,236.25,320.96,264.19,,,,,1.256,2460600.5,0.0367,0.785,"Otto Matic"
"480822 (1998 YM4)",Y,Y,1.477,0.7196,3.43,341.75,344.56,176.01,,,,,0.5493,2460600.5,0.0466,1.79,"Otto Matic"
"480858 (2001 PT9)",Y,Y,1.468,0.4552,7.18,329.97,261.65,51.99,,,,,0.5542,2460600.5,0.0292,1.78,"Otto Matic"
"480883 (2001 YE4)",Y,Y,0.6769,0.5404,4.85,305.32,318.98,205.22,,,,,1.77,2460600.5,0.031,0.557,"Otto Matic"
"480936 (2003 QH5)",Y,Y,1.26,0.2202,17.62,299.21,321.16,27.81,0.537,,6.74,,0.6972,2460600.5,0.00732,1.41,"Otto Matic"
"481394 (2006 SF6)",Y,Y,0.9501,0.2805,5.84,227.96,305.58,21.90,,,11.4876,,1.064,2460600.5,0.0192,0.926,"Otto Matic"
"481457 (2006 XD2)",Y,Y,1.267,0.4251,3.56,65.59,109.53,136.97,,,3.7,,0.6914,2460600.5,0.0177,1.43,"Otto Matic"
"481482 (2007 CA19)",Y,Y,2.808,0.8215,9.60,169.92,102.60,256.19,,,,,0.2094,2460600.5,0.0198,4.71,"Otto Matic"
"481532 (2007 LE)",Y,Y,1.839,0.5157,29.55,73.62,120.28,4.16,,,2.603,,0.3954,2460600.5,0.0476,2.49,"Otto Matic"
"481817 (2008 UL90)",Y,Y,0.695,0.3799,24.31,81.13,183.67,2.40,,,,,1.701,2460600.5,0.026,0.579,"Otto Matic"
"482250 (2011 LL2)",Y,Y,1.134,0.0965,24.68,68.23,163.63,38.75,,,0.103154,,0.8161,2460600.5,0.0163,1.21,"Otto Matic"
