"full_name","neo","pha","a","e","i","om","w","ma","diameter","extent","rot_per","GM","n","epoch","moid","per_y","producer","last_obs"
"518507 (2006 EE1)",Y,N,1.20260656237218,.2764128115040905,36.40367579279368,154.2139889073749,278.020925618246,93.56787064857053,0.794,,4.62,,.7473408468974883,2460600.5,.0746676,1.31884439002536,"Otto Matic",2022-03-27
"518635 (2008 HO3)",Y,N,2.915987726098783,.6508207881058742,14.07958769078808,206.0223958166523,128.9382844323635,80.31083105241726,,,13.413,,.197936340410144,2460600.5,.116289,4.97951150013807,"Otto Matic",2024-02-03
"518638 (2008 JP14)",Y,N,1.854035447554192,.6187367272477957,10.7123839738475,129.0220693158053,206.4460585317537,150.809623516589,,,2.488,,.3904154754339765,2460600.5,.141443,2.5245574148206,"Otto Matic",2024-01-13
"518640 (2008 KZ5)",Y,Y,1.843617994151899,.4544794570906421,8.361266456858013,142.5465158928016,194.42467904,160.6945125595412,,,5.789,,.393729238119085,2460600.5,.0031316,2.50330985851107,"Otto Matic",2024-01-07
"518646 (2008 QD1)",Y,N,2.253877482072283,.4458900743867846,6.913101718215262,72.67932706805802,261.1316388526195,279.9536934826033,,,,,.2912786257387695,2460600.5,.273012,3.38379199938792,"Otto Matic",2018-06-08
"518678 (2008 UZ94)",Y,Y,2.191223028753348,.5724545906651477,30.2536742194292,248.2191164503126,159.7215407184992,322.9379885267167,,,6.36,,.3038604653697377,2460600.5,.0263911,3.24368055636407,"Otto Matic",2023-05-09
"518735 (2009 JL1)",Y,N,1.17998318463284,.170647405622335,11.51338746930773,69.51447184361206,289.6019805806181,263.5305846758761,,,5.78,,.7689362692945745,2460600.5,.076226,1.28180490728025,"Otto Matic",2023-04-22
"518737 (2009 OO9)",Y,N,1.624152742840475,.8120382075498255,13.60415152442141,134.9435914373588,322.2087792750482,102.9214503850655,,,,,.4761719065294727,2460600.5,.0741235,2.06989591332926,"Otto Matic",2024-06-05
"518771 (2009 WL1)",Y,N,1.786080057312957,.334915787897392,29.02160699915551,64.98202913045159,323.0576232776785,108.1403720618276,,,,,.4129074243959174,2460600.5,.24976,2.38703938251904,"Otto Matic",2023-06-16
"518810 (2010 CF19)",Y,Y,1.19312557008512,.2699515890308368,7.177319813474422,154.710021889844,265.3103390852566,142.8720716364643,0.083,,,,.7562664668309963,2460600.5,.0325018,1.30327910412008,"Otto Matic",2018-05-23
"518847 (2010 DM)",Y,Y,2.08062457939506,.8398638748521263,5.001864912207152,140.7457536243784,221.039252800504,8.78622359310053,,,,,.3284078176616055,2460600.5,.0324538,3.00122661630167,"Otto Matic",2024-05-27
"519307 (2011 EF15)",Y,N,2.302863686900861,.446349220585697,.2529804168102924,356.89532098168,235.2307669698261,290.0567816651379,,,,,.2820341685871854,2460600.5,.266149,3.49470522775636,"Otto Matic",2018-05-02
"519354 (2011 KR12)",Y,N,1.007823903057693,.3803936999488136,7.420549235366354,20.27314724240763,1.531923554733092,354.7000349499511,,,,,.9741528201073224,2460600.5,.119122,1.01177788846207,"Otto Matic",2024-04-07
"519504 (2012 EU14)",Y,N,2.084005121938639,.479206371559342,22.63374476222235,185.0112756771691,88.60714733977963,23.4324309686707,,,,,.3276090579251755,2460600.5,.348182,3.00854405433646,"Otto Matic",2024-03-29
"519824 (2013 JY35)",Y,N,1.386032372598727,.6688893476627,30.62934340149937,226.5918992408579,222.8316041029876,50.82538620171371,,,,,.6040098388970266,2460600.5,.208985,1.63180501358619,"Otto Matic",2023-05-22
"520585 Saci (2014 OA2)",Y,N,1.602692729521355,.2665306597415406,6.179153363350337,118.7419498726946,184.5515237785758,15.20072388794752,,,,,.4857677443888006,2460600.5,.16071,2.02900726685277,"Otto Matic",2024-04-27
"520808 (2014 TF64)",Y,N,1.613375879286741,.4179496482074831,52.6772928823907,217.966961122978,114.245706265148,348.5277017004474,0.704,,,,.4809508916981925,2460600.5,.131753,2.04932832100051,"Otto Matic",2020-05-23
"520862 (2014 WG7)",Y,N,1.627206810859303,.2953933913010517,35.35215467183797,56.53467691211702,251.1663107995287,351.0816998567509,,,,,.4748319611701307,2460600.5,.310357,2.07573702692353,"Otto Matic",2020-05-20
"522684 (2016 JP)",Y,Y,.9938717122665413,.3835627762644627,11.32683207828335,202.553641466613,255.629071422967,264.6862742964083,,,3.2905,,.9947377031988063,2460600.5,.0289665,0.990840379527236,"Otto Matic",2024-06-16
"523585 (1998 MW5)",Y,N,1.023457702116615,.362892383617218,6.291632348545346,80.12469364560452,26.88669808257556,296.0993667780965,,,,,.9519173135933349,2460600.5,.076194,1.03541165739173,"Otto Matic",2024-09-24
"523586 (1999 LK1)",Y,N,.9069495899971323,.332622635987654,11.92703199852322,239.9419666782901,223.6327213165929,255.7423711455456,,,,,1.141114833047166,2460600.5,.0288512,0.863739787463456,"Otto Matic",2019-07-26
"523587 (1999 VQ11)",Y,N,2.803831542057618,.5978951877372531,7.952974882525982,26.69032594846912,353.2794029658295,105.112299266194,,,32.21,,.2099308181218616,2460600.5,.130877,4.69500520307321,"Otto Matic",2024-02-10
"523589 (2001 HA4)",Y,Y,2.690139209499758,.7934151632645798,17.17606684373916,354.0109502873554,95.65541302169623,134.9643219272613,1.851,,,,.2233787941420147,2460600.5,.0250157,4.41235385459614,"Otto Matic",2023-05-24
"523590 (2001 QC96)",Y,N,1.335472104689368,.3796298814688324,20.59095941742054,142.9361899393385,277.4691462160292,306.6185780298497,,,10.,,.6386337153906193,2460600.5,.0727214,1.54333581145916,"Otto Matic",2022-03-25
"523592 (2001 SK276)",Y,N,3.186507320544177,.5941957016347004,20.76116435511211,297.6462027479503,119.4802709927996,7.196064743761085,,,,,.1732733185280989,2460600.5,.42823,5.68827498509369,"Otto Matic",2018-12-17
"523593 (2001 TZ1)",Y,N,2.011051019412642,.4391550324473451,39.60735832963936,189.8621879395451,149.3516840658301,37.47141579147808,,,,,.34559658393391,2460600.5,.170977,2.85195609328142,"Otto Matic",2024-08-03
"523594 (2001 YO3)",Y,N,1.339591727841317,.1658134099373843,13.12565978878997,272.7485947401756,129.6646625468249,291.0412083902144,,,,,.6356900127309278,2460600.5,.174537,1.55048256796312,"Otto Matic",2018-08-04
"523595 (2002 OS4)",Y,N,1.923462574106748,.4538611513479142,26.81151643501779,289.4165294815867,102.2156213310561,84.06406800069715,0.658,,,,.3694693897616606,2460600.5,.298211,2.66768049175432,"Otto Matic",2022-01-09
"523596 (2002 PH80)",Y,N,2.169606471467234,.4577941426936433,6.42068539744012,351.1539172882268,331.3048511720393,340.6542052891357,,,,,.3084129621305902,2460600.5,.173381,3.19580045066399,"Otto Matic",2018-11-08
